# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	1	2709	+						25268071	EAH_00000010	2709		partial
mRNA		GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	1	2709	+	XM_013397862.1		XP_013253316.1	hypothetical protein, conserved		25268071	EAH_00000010	1547	1547	partial
CDS	with_protein	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	1	2709	+	XP_013253316.1		XM_013397862.1	hypothetical protein, conserved		25268071	EAH_00000010	1547	514	partial
gene	protein_coding	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	4898	11808	+						25268072	EAH_00000020	6911		partial
mRNA		GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	4898	11808	+	XM_013397863.1		XP_013253317.1	hypothetical protein, conserved		25268072	EAH_00000020	2517	2517	partial
CDS	with_protein	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	4898	11808	+	XP_013253317.1		XM_013397863.1	hypothetical protein, conserved		25268072	EAH_00000020	2517	838	
gene	protein_coding	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	13355	17279	-						25268073	EAH_00000030	3925		partial
mRNA		GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	13355	17279	-	XM_013397864.1		XP_013253318.1	zinc finger DHHC domain-containing protein, putative		25268073	EAH_00000030	1098	1098	partial
CDS	with_protein	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	13355	17279	-	XP_013253318.1		XM_013397864.1	zinc finger DHHC domain-containing protein, putative		25268073	EAH_00000030	1098	365	
gene	protein_coding	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	22300	23928	-						25268074	EAH_00000040	1629		partial
mRNA		GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	22300	23928	-	XM_013397865.1		XP_013253319.1	TATA-box binding protein, putative		25268074	EAH_00000040	1245	1245	partial
CDS	with_protein	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	22300	23928	-	XP_013253319.1		XM_013397865.1	TATA-box binding protein, putative		25268074	EAH_00000040	1245	414	
gene	protein_coding	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	25099	25857	+						25268075	EAH_00000050	759		partial
mRNA		GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	25099	25857	+	XM_013397866.1		XP_013253320.1	Chromosome III, complete sequence, related		25268075	EAH_00000050	549	549	partial
CDS	with_protein	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	25099	25857	+	XP_013253320.1		XM_013397866.1	Chromosome III, complete sequence, related		25268075	EAH_00000050	549	182	
gene	protein_coding	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	27292	28562	+						25268076	EAH_00000060	1271		partial
mRNA		GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	27292	28562	+	XM_013397867.1		XP_013253321.1	TBPIP domain-containing protein, putative		25268076	EAH_00000060	657	657	partial
CDS	with_protein	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	27292	28562	+	XP_013253321.1		XM_013397867.1	TBPIP domain-containing protein, putative		25268076	EAH_00000060	657	218	
gene	protein_coding	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	29043	31076	-						25268077	EAH_00000070	2034		partial
mRNA		GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	29043	31076	-	XM_013397868.1		XP_013253322.1	hypothetical protein, conserved		25268077	EAH_00000070	2034	2034	partial
CDS	with_protein	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	29043	31076	-	XP_013253322.1		XM_013397868.1	hypothetical protein, conserved		25268077	EAH_00000070	2034	677	
gene	protein_coding	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	36597	41135	-						25268078	EAH_00000080	4539		partial
mRNA		GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	36597	41135	-	XM_013397869.1		XP_013253323.1	hypothetical protein, conserved		25268078	EAH_00000080	2616	2616	partial
CDS	with_protein	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	36597	41135	-	XP_013253323.1		XM_013397869.1	hypothetical protein, conserved		25268078	EAH_00000080	2616	871	
gene	protein_coding	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	43689	45330	-						25268079	EAH_00000090	1642		partial
mRNA		GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	43689	45330	-	XM_013397870.1		XP_013253324.1	Microneme protein etmic-2/7h, related		25268079	EAH_00000090	882	882	partial
CDS	with_protein	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	43689	45330	-	XP_013253324.1		XM_013397870.1	Microneme protein etmic-2/7h, related		25268079	EAH_00000090	882	293	
gene	protein_coding	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	47658	51599	-						25268080	EAH_00000100	3942		partial
mRNA		GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	47658	51599	-	XM_013397871.1		XP_013253325.1	hypothetical protein, conserved		25268080	EAH_00000100	2040	2040	partial
CDS	with_protein	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	47658	51599	-	XP_013253325.1		XM_013397871.1	hypothetical protein, conserved		25268080	EAH_00000100	2040	679	
gene	protein_coding	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	55758	58292	-						25268081	EAH_00000110	2535		partial
mRNA		GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	55758	58292	-	XM_013397872.1		XP_013253326.1	hypothetical protein		25268081	EAH_00000110	1398	1398	partial
CDS	with_protein	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	55758	58292	-	XP_013253326.1		XM_013397872.1	hypothetical protein		25268081	EAH_00000110	1398	465	
gene	protein_coding	GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	58749	60074	-						25268082	EAH_00000120	1326		partial
mRNA		GCF_000499425.1	Primary Assembly	unplaced scaffold		NW_013550436.1	58749	60074	-	XM_013397873.1		XP_013253327.1	SCY kinase (incomplete catalytic triad), putative		25268082	EAH_00000120	933	933	partial
