# Species	Genes	Alg.-Conn.	Arkhipov1_protein.faa	Arkhipov2_protein.faa	Arkhipov3_protein.faa	Arkhipov4_protein.faa	Arkhipov5_protein.faa
5	5	0.057	CDI86918.1	XP_013436584.1	XP_013250130.1	XP_013338181.1	XP_013351224.1
5	5	0.0526	CDI87309.1	XP_013434853.1	XP_013250798.1	XP_013335369.1	XP_013353109.1
5	5	0.0735	CDI75021.1	XP_013440940.1	XP_013253161.1	XP_013332848.1	XP_013356522.1
5	5	0.0206	CDI75776.1	XP_013438469.1	XP_013251128.1	XP_013336190.1	XP_013350987.1
5	5	0.0936	CDI76931.1	XP_013438464.1	XP_013251136.1	XP_013336334.1	XP_013356939.1
5	5	0.0619	CDI87722.1	XP_013433174.1	XP_013248554.1	XP_013332950.1	XP_013355427.1
2	5	0.193	*	XP_013432890.1	*	XP_013334745.1,XP_013336238.1,XP_013336297.1,XP_013336459.1	*
5	5	0.0229	CDI85057.1	XP_013439612.1	XP_013248265.1	XP_013333637.1	XP_013350226.1
5	5	0.0781	CDI86602.1	XP_013439820.1	XP_013246831.1	XP_013338242.1	XP_013357782.1
5	5	0.0566	CDI81624.1	XP_013432994.1	XP_013246500.1	XP_013336369.1	XP_013355860.1
5	5	0.046	CDI87783.1	XP_013433513.1	XP_013249781.1	XP_013336436.1	XP_013349890.1
5	5	0.0833	CDI86939.1	XP_013437110.1	XP_013249911.1	XP_013334013.1	XP_013349758.1
5	5	0.0454	CDI82411.1	XP_013440561.1	XP_013249303.1	XP_013337760.1	XP_013351611.1
5	5	0.0309	CDI73966.1	XP_013440229.1	XP_013248154.1	XP_013334722.1	XP_013358091.1
5	5	0.0889	CDI79891.1	XP_013433360.1	XP_013250912.1	XP_013333456.1	XP_013352977.1
5	5	0.0693	CDI74491.1	XP_013438503.1	XP_013252303.1	XP_013334277.1	XP_013351493.1
5	5	0.0229	CDI87045.1	XP_013436462.1	XP_013252344.1	XP_013333149.1	XP_037877959.1
5	5	0.0284	CDI75623.1	XP_013435529.1	XP_013246495.1	XP_013333781.1	XP_013350584.1
5	5	0.0258	CDI87388.1	XP_013434078.1	XP_013252640.1	XP_013336495.1	XP_013356267.1
3	4	0.132	CDI74432.1	*	*	XP_013334548.1,XP_013337031.1	XP_013355525.1
4	4	0.0452	*	XP_013438357.1	XP_013246701.1	XP_013338607.1	XP_013355440.1
4	4	0.1	CDI86699.1	*	XP_013247546.1	XP_013338096.1	XP_013357532.1
4	4	0.166	*	XP_013440658.1	XP_013248969.1	XP_013337755.1	XP_013350179.1
5	5	0.049	CDI84690.1	XP_013437745.1	XP_013248427.1	XP_013332918.1	XP_013354463.1
4	4	0.0973	CDI75125.1	XP_013434836.1	XP_013246779.1	XP_013334487.1	*
4	4	0.105	CDI83889.1	XP_013436937.1	XP_013251358.1	*	XP_013354613.1
4	4	0.0781	*	XP_013435803.1	XP_013247305.1	XP_013333368.1	XP_013353027.1
4	4	0.121	CDI85737.1	*	XP_013250563.1	XP_013337683.1	XP_037878015.1
4	4	0.117	CDI76650.1	XP_013437368.1	XP_013250810.1	*	XP_013357356.1
4	4	0.0969	CDI86051.1	*	XP_013248669.1	XP_013338375.1	XP_013355864.1
5	5	0.0545	CDI85070.1	XP_013437700.1	XP_013252600.1	XP_013334822.1	XP_013354339.1
5	5	0.0234	CDI84804.1	XP_013441026.1	XP_013247276.1	XP_013335485.1	XP_013350112.1
