# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	2602	9185	-							EPH_0000010	6584		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	2602	9185	-	CDI73657.1			Helicase associated domain HA2 containing protein , related			EPH_0000010	3057	1018	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	13216	14433	+							EPH_0011120	1218		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	13216	14433	+	CDI73658.1			hypothetical protein			EPH_0011120	1218	405	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	18297	19605	-							EPH_0022230	1309		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	18297	19605	-	CDI73659.1			hypothetical protein, conserved			EPH_0022230	819	272	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	20208	21814	+							EPH_0033340	1607		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	20208	21814	+	CDI73660.1			double-stranded DNA-binding domain-containing protein, putative			EPH_0033340	366	121	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	22726	23994	-							EPH_0044450	1269		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	22726	23994	-	CDI73661.1			hypothetical protein, conserved			EPH_0044450	1269	422	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	28195	32632	+							EPH_0055560	4438		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	28195	32632	+	CDI73662.1			heat shock protein 60, putative			EPH_0055560	1740	579	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	33640	35315	-							EPH_0066670	1676		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	33640	35315	-	CDI73663.1			hypothetical protein, conserved			EPH_0066670	435	144	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	36076	36813	+							EPH_0074140	738		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	36076	36813	+	CDI73664.1			hypothetical protein, conserved			EPH_0074140	504	167	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	38777	49599	-							EPH_0075250	10823		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	38777	49599	-	CDI73665.1			hypothetical protein, conserved			EPH_0075250	9417	3138	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	50573	55582	+							EPH_0000020	5010		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	50573	55582	+	CDI73666.1			DNA polymerase alpha subunit, putative			EPH_0000020	2073	690	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	57169	66922	+							EPH_0001130	9754		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	57169	66922	+	CDI73667.1			C2 domain-containing protein, putative			EPH_0001130	4236	1411	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	68196	69557	-							EPH_0002240	1362		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	68196	69557	-	CDI73668.1			zinc finger (C3HC4 RING finger) protein, putative			EPH_0002240	1362	453	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	71374	74849	+							EPH_0003350	3476		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	71374	74849	+	CDI73669.1			tola protein., putative			EPH_0003350	2907	968	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	75766	81531	-							EPH_0004460	5766		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	75766	81531	-	CDI73670.1			hypothetical protein, conserved			EPH_0004460	4602	1533	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	85712	91446	-							EPH_0005570	5735		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	85712	91446	-	CDI73671.1			hypothetical protein, conserved			EPH_0005570	4710	1569	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	93945	112284	-							EPH_0006680	18340		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	93945	112284	-	CDI73672.1			CAMP-dependent protein kinase regulatory subunit, putative			EPH_0006680	9003	3000	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	115069	118332	-							EPH_0007790	3264		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	115069	118332	-	CDI73673.1			RNA recognition motif domain-containing protein, putative			EPH_0007790	1251	416	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	119911	123863	-							EPH_0008900	3953		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	119911	123863	-	CDI73674.1			surp module domain-containing protein, putative			EPH_0008900	1947	648	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	125230	129565	+							EPH_0010010	4336		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	125230	129565	+	CDI73675.1			acylamino-acid-releasing enzyme, putative			EPH_0010010	1764	587	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	133449	148948	-							EPH_0011130	15500		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	133449	148948	-	CDI73676.1			hypothetical protein, conserved			EPH_0011130	9705	3234	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	151737	154185	-							EPH_0012240	2449		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688746.1	151737	154185	-	CDI73677.1			58 kDa phosphoprotein, putative			EPH_0012240	897	298	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688747.1	172	2006	-							EPH_0007350	1835		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688747.1	172	2006	-	CDI73678.1			hypothetical protein, conserved			EPH_0007350	1119	372	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688747.1	4543	5351	-							EPH_0007460	809		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688747.1	4543	5351	-	CDI73679.1			hypothetical protein			EPH_0007460	456	151	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688747.1	5903	8416	-							EPH_0007570	2514		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688747.1	5903	8416	-	CDI73680.1			hypothetical protein, conserved			EPH_0007570	2373	790	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688747.1	9297	11894	+							EPH_0007680	2598		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688747.1	9297	11894	+	CDI73681.1			SPBC16D10.01c, related, related			EPH_0007680	1134	377	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688747.1	12816	19477	+							EPH_0007800	6662		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688747.1	12816	19477	+	CDI73682.1			hypothetical protein, conserved			EPH_0007800	1758	585	
gene	protein_coding	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688747.1	20020	21797	-							EPH_0007910	1778		
CDS	with_protein	GCA_000499445.1	Primary Assembly	unplaced scaffold		HG688747.1	20020	21797	-	CDI73683.1			hypothetical protein			EPH_0007910	657	218	
